equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R1227,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,36735,0,1023.6,0,103,0,R8126,Ford Fusion,36000,103,PHEV,1023.6
R1228,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,28413,0,1023.6,0,103,0,R8127,Ford Fusion,36000,103,PHEV,1023.6
R1229,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,37930,0,1023.6,0,103,0,R8128,Ford Fusion,36000,103,PHEV,1023.6
R1230,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,8716,0,1023.6,0,103,0,R8129,Ford Fusion,36000,103,PHEV,1023.6
R1231,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,31172,0,1023.6,0,103,0,R8130,Ford Fusion,36000,103,PHEV,1023.6
R1232,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,11543,0,1023.6,0,103,0,R8131,Ford Fusion,36000,103,PHEV,1023.6
R1233,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,33253,0,1023.6,0,103,0,R8132,Ford Fusion,36000,103,PHEV,1023.6
R1234,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,44025,0,1023.6,0,103,0,R8133,Ford Fusion,36000,103,PHEV,1023.6
R1235,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,21929,0,1023.6,0,103,0,R8134,Ford Fusion,36000,103,PHEV,1023.6
R1236,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,11506,0,1023.6,0,103,0,R8135,Ford Fusion,36000,103,PHEV,1023.6
R1237,Ford Escape,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,29000,29000,19802,0,1110.2,0,39,0,R8136,Ford Escape,29000,39,HEV,1110.2
R1238,Chevrolet Bolt EV,EV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,31300,31300,14934,0,777.2,0,106,0,R8137,Chevrolet Bolt EV,31300,106,EV,777.2
R1239,Ford F 150 XLT Super Crew,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,39000,39000,25220,0,1397.4,0,30.6,0,R8138,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R1240,Ford Escape,HEV,Property Management - Grounds and Rec Maintenance,10252504,12/31/2021,0,29000,29000,8491,0,1110.2,0,39,0,R8139,Ford Escape,29000,39,HEV,1110.2
R1241,Chrysler Pacifica Hybrid,HEV,Police Department - Operations,10151506,12/31/2021,0,40000,40000,14805,0,984.6,0,82,0,R8140,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1242,Chrysler Pacifica Hybrid,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,40000,40000,20890,0,984.6,0,82,0,R8141,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1243,Chrysler Pacifica Hybrid,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,40000,40000,20715,0,984.6,0,82,0,R8142,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1244,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,12312,0,1227.8,0,14.6,0,R8143,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1245,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,18172,0,1227.8,0,14.6,0,R8144,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1246,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,19423,0,1227.8,0,14.6,0,R8145,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1247,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,13592,0,1227.8,0,14.6,0,R8146,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1248,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,15637,0,1227.8,0,14.6,0,R8147,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
