equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R1328,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,44586,0,1023.6,0,103,0,R8227,Ford Fusion,36000,103,PHEV,1023.6
R1329,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,37453,0,1023.6,0,103,0,R8228,Ford Fusion,36000,103,PHEV,1023.6
R1330,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,25911,0,1023.6,0,103,0,R8229,Ford Fusion,36000,103,PHEV,1023.6
R1331,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,16263,0,1023.6,0,103,0,R8230,Ford Fusion,36000,103,PHEV,1023.6
R1332,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,8370,0,1023.6,0,103,0,R8231,Ford Fusion,36000,103,PHEV,1023.6
R1333,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,38089,0,1023.6,0,103,0,R8232,Ford Fusion,36000,103,PHEV,1023.6
R1334,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,37182,0,1023.6,0,103,0,R8233,Ford Fusion,36000,103,PHEV,1023.6
R1335,Chrysler Pacifica Hybrid,HEV,Police Department - Operations,10151506,12/31/2021,0,40000,40000,15142,0,984.6,0,82,0,R8234,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1336,Ford Fusion,PHEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,36000,36000,24040,0,1023.6,0,103,0,R8235,Ford Fusion,36000,103,PHEV,1023.6
R1337,Chevrolet Bolt EV,EV,Police Department - Investigative Services,10151503,12/31/2021,0,31300,31300,13231,0,777.2,0,106,0,R8236,Chevrolet Bolt EV,31300,106,EV,777.2
R1338,Ford Escape,HEV,Police Department - Investigative Services,10151503,12/31/2021,0,29000,29000,15800,0,1110.2,0,39,0,R8237,Ford Escape,29000,39,HEV,1110.2
R1339,Chevrolet Bolt EV,EV,Police Department - Investigative Services,10151503,12/31/2021,0,31300,31300,15458,0,777.2,0,106,0,R8238,Chevrolet Bolt EV,31300,106,EV,777.2
