,year,vehicles_replaced
0,2021,"[24399.0, 26142.0, 26145.0, 26521.0, 26526.0, 26563.0, 26566.0, 26785.0, 26802.0, 26875.0, 26924.0, 26925.0, 26926.0, 26927.0, 26928.0, 26929.0, 26999.0, 27000.0, 27253.0, 27263.0, 27300.0, 27303.0, 27304.0, 27305.0, 27314.0, 27319.0, 27383.0, 27398.0, 27428.0, 27455.0, 27462.0, 27463.0, 27511.0, 27513.0, 27520.0, 27521.0, 27529.0, 27530.0, 27532.0, 27566.0, 27580.0, 27589.0, 27590.0, 27592.0, 27599.0, 27618.0, 27620.0, 27625.0, 27635.0, 27657.0, 27663.0, 27687.0, 27693.0, 27699.0, 27701.0, 27717.0, 27724.0, 27730.0, 27738.0, 27744.0, 27745.0, 27746.0, 27748.0, 27750.0, 27751.0, 27776.0, 27786.0, 27820.0, 27821.0, 27822.0, 27823.0, 27826.0, 27828.0, 27829.0, 27830.0, 27831.0, 27839.0, 27840.0, 27841.0, 27847.0, 27849.0, 27859.0, 27874.0, 27875.0, 27876.0, 27877.0, 27878.0, 27879.0, 27880.0, 27881.0, 27882.0, 27883.0, 27884.0, 27885.0, 27886.0, 27887.0, 27889.0, 27890.0, 27891.0, 27892.0, 27893.0, 27901.0, 27902.0, 27903.0, 27905.0, 27906.0, 27907.0, 27909.0, 27910.0, 27911.0, 27912.0, 27913.0, 27914.0, 27915.0, 27916.0, 27919.0, 27923.0, 27924.0, 27925.0, 27926.0, 27927.0, 27928.0, 27930.0, 27931.0, 27943.0, 27962.0, 27963.0, 27964.0, 27965.0, 27966.0, 27967.0, 27970.0, 27971.0, 27991.0, 28005.0, 28040.0, 28074.0, 28076.0, 28082.0, 28091.0, 28096.0, 30004.0, 30007.0, 30008.0, 30018.0, 30036.0, 30044.0, 30049.0, 30060.0, 30071.0, 30073.0, 30074.0, 30075.0, 30076.0, 30077.0, 30078.0, 30079.0, 30080.0, 30115.0, 30117.0, 30121.0, 30122.0, 30152.0, 30176.0, 30177.0, 30179.0, 30181.0, 30207.0, 30210.0, 30211.0, 30226.0, 30228.0, 30232.0, 30233.0, 30317.0, 30393.0, 30408.0, 30424.0, 30475.0, 30480.0, 30579.0, 30580.0, 30589.0, 30827.0, 30846.0, 30849.0, 30851.0, 30855.0, 30913.0, 30918.0, 30924.0, 30927.0, 30938.0, 31022.0]"
1,2022,"[26783.0, 27002.0, 27111.0, 27112.0, 27169.0, 27292.0, 27471.0, 27472.0, 27517.0, 27536.0, 27539.0, 27541.0, 27550.0, 27575.0, 27576.0, 27605.0, 27656.0, 27660.0, 27684.0, 27706.0, 27726.0, 27758.0, 27808.0, 27824.0, 27827.0, 27834.0, 27843.0, 27844.0, 27845.0, 27851.0, 27854.0, 27870.0, 27872.0, 27895.0, 27951.0, 27952.0, 27956.0, 27957.0, 27969.0, 27985.0, 27987.0, 28004.0, 28022.0, 28065.0, 28073.0, 28084.0, 30006.0, 30014.0, 30021.0, 30046.0, 30050.0, 30072.0, 30081.0, 30083.0, 30118.0, 30146.0, 30150.0, 30151.0, 30153.0, 30155.0, 30156.0, 30168.0, 30178.0, 30180.0, 30183.0, 30184.0, 30185.0, 30186.0, 30187.0, 30189.0, 30190.0, 30191.0, 30192.0, 30193.0, 30194.0, 30195.0, 30203.0, 30212.0, 30214.0, 30216.0, 30221.0, 30230.0, 30241.0, 30242.0, 30244.0, 30248.0, 30257.0, 30261.0, 30262.0, 30263.0, 30264.0, 30269.0, 30275.0, 30278.0, 30280.0, 30281.0, 30313.0, 30314.0, 30326.0, 30328.0, 30331.0, 30355.0, 30360.0, 30372.0, 30374.0, 30379.0, 30386.0, 30388.0, 30389.0, 30390.0, 30397.0, 30404.0, 30410.0, 30411.0, 30414.0, 30415.0, 30416.0, 30417.0, 30418.0, 30421.0, 30426.0, 30427.0, 30428.0, 30429.0, 30430.0, 30433.0, 30440.0, 30459.0, 30462.0, 30464.0, 30465.0, 30466.0, 30471.0, 30482.0, 30486.0, 30492.0, 30503.0, 30507.0, 30511.0, 30513.0, 30524.0, 30525.0, 30546.0, 30553.0, 30560.0, 30568.0, 30577.0, 30584.0, 30585.0, 30591.0, 30695.0, 30745.0, 30818.0, 30828.0, 30831.0, 30833.0, 30838.0, 30842.0, 30843.0, 30847.0, 30850.0, 30853.0, 30857.0, 30884.0, 30898.0, 30901.0, 30902.0, 30907.0, 30910.0, 30912.0, 30915.0, 30916.0, 30919.0, 30921.0, 30922.0, 30993.0, 31061.0, 31147.0, 31161.0, 31162.0, 31276.0, 31289.0, 31304.0, 31317.0]"
