equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
26875,2002 FORD TAURUS',ICE,Police Department - Administrative/Technical Services,10151502,2/26/02,18,15968.00,2500.00,"2,912","118,065",134.13,13271.02,21,335.71,R111,Ford Fusion,36000,103,PHEV
26924,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,461,"34,715",268.38,11581.58,42.3,26.38,R112,Harley Davidson Electra Glide Std,20500,43,ICE
26925,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,546,"31,022",277.37,10924.32,42.3,31.25,R113,Harley Davidson Electra Glide Std,20500,43,ICE
26926,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,346,"35,964",532.00,13686.93,42.3,19.80,R114,Harley Davidson Electra Glide Std,20500,43,ICE
26927,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,323,"26,645",76.11,10924.70,42.3,18.49,R115,Harley Davidson Electra Glide Std,20500,43,ICE
26928,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,379,"27,799",721.14,14921.34,42.3,21.69,R116,Harley Davidson Electra Glide Std,20500,43,ICE
26929,2003 Harley Davidson FLHT',ICE,Police Department - Support Operations,10151507,9/26/02,18,17366.27,8000.00,20,"23,920",1270.98,13318.26,42.3,1.14,R117,Harley Davidson Electra Glide Std,20500,43,ICE
26997,2003 CHEVROLET C4500 UTIL BODY',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,4/23/03,17,34994.00,15000.00,"7,105","133,737",3645.60,40038.52,9,1911.25,R118,Ford E-450 Cutaway,150000,33.7,EV
26998,2003 CHEVROLET C4500 UTIL BODY',ICE,DPW: Equipment Maintenance,10707503,4/23/03,17,30196.00,15000.00,"3,327","142,031",3.47,13460.71,9,894.96,R119,Ford E-450 Cutaway,150000,33.7,EV
26999,2003 CHEVROLET Astro',ICE,Police Department - Administrative/Technical Services,10151502,4/23/03,17,20149.00,4000.00,"3,512","119,606",271.16,12926.21,15,566.84,R120,Chrysler Pacifica Hybrid,40000,82,HEV
27000,2003 CHEVROLET 3/4 TON PU',ICE,DPW: Solid Waste Management (Refuse Disposal),10707603,4/23/03,17,23107.00,8000.00,"6,148","142,084",7618.18,23843.10,14,1063.16,R121,Ford F 150 XLT Super Crew,39000,30.6,HEV
27002,2003 FORD E350',ICE,OIT: Electronic Services/Telecommunications,10696904,5/9/03,17,19708.00,4000.00,"5,437","66,173",43.13,5305.87,12.5,1053.04,R122,Ford Transit 350HD Cargo Van,46000,66,EV
27111,2004 CHEVROLET 3/4 TON PU',ICE,Recreation and Parks (Opns./Maintnenance),10393904,2/5/04,16,25499.00,8500.00,"2,696","47,447",2393.85,12503.26,15,435.13,R123,Ford F 150 XLT Super Crew,39000,30.6,HEV
27112,2004 CHEVROLET 3/4 TON PU',ICE,DPW: Equipment Maintenance,10707503,2/5/04,16,25499.00,8500.00,"2,549","80,403",2393.85,14007.17,15,411.41,R124,Ford F 150 XLT Super Crew,39000,30.6,HEV
27119,2004 FORD F450',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,2/20/04,16,31529.00,10000.00,"9,690","169,697",3281.28,25177.04,10,2345.95,R125,Ford F 450 Super Duty XL,71000,10.7,ICE
27143,2005 FORD WRECKER',ICE,Vehicle Operations and Maintenance,210101003,9/23/04,16,84192.00,15000.00,"3,453","79,343",1437.44,25414.34,4.25,1966.99,R126,Ford Wrecker,222000,4.25,ICE
27169,2003 CHEVROLET VAN CARGO',ICE,Property Management - Building Maintenance,10252502,12/27/04,16,13370.91,7000.00,"7,192","115,654",128.41,15188.23,14,1243.70,R127,Ford Transit 350HD Cargo Van,46000,66,EV
